Index,Business Name,Business Address,Business Address(Line 1),Business Address(Line 2),Business Address Suburb,Business Phone Number,Eat Safe Rating,Permit Name,Business Address Suburb List
11,Coles Central Brisbane Myer Express,c/- Licensing and Registrations PO Box 2000 07 3183 5100,c/- Licensing and Registrations,PO Box 2000,Glen Iris,07 3183 5100,,"Food Shop,Takeaway Food,Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
12,Coles Newmarket (4528),c/- Licensing and Registrations PO BOX 200 -,c/- Licensing and Registrations,PO BOX 200,Glen Iris,-,,"Delicatessen,Food Shop,Fruit and Vegetable Processing,Bakery/Patisserie","G, Glen Iris"
13,Coles Supermarket - Ascot (4568),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Fruit and Vegetable Processing,Food Shop","G, Glen Iris"
14,Coles Sunnybank HIlls (4671),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Food Shop,Delicatessen,Bakery/Patisserie,Fruit and Vegetable Processing","G, Glen Iris"
15,Coles Sunnybank Plaza (4514),c/- Licensing and Registration PO BOX 200 -,c/- Licensing and Registration,PO BOX 200,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
16,Coles Supermarket - Sunnybank Hills (4489),c/- Licensing and Registrations PO Box 2000 0421 606 081,c/- Licensing and Registrations,PO Box 2000,Glen Iris,0421 606 081,,"Fruit and Vegetable Processing,Delicatessen,Bakery/Patisserie","G, Glen Iris"
17,Coles Supermarket - Fairfield (4512),c/- Licensing and Registrations PO BOX 200 -,c/- Licensing and Registrations,PO BOX 200,Glen Iris,-,,"Food Shop,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
18,Coles Supermarket (8714),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Food Shop,Delicatessen,Fruit and Vegetable Processing,Bakery/Patisserie","G, Glen Iris"
19,Coles West End (4553),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,Food Shop,"G, Glen Iris"
20,Coles Wynnum (4451),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,Food Shop,"G, Glen Iris"
21,Coles - Cannon Hill (4464),c/- Licensing and Registrations PO BOX 2000 3399 3033,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,3399 3033,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
22,Coles Coorparoo (4467),c/- Licensing and Registrations PO Box 2000 0733979711,c/- Licensing and Registrations,PO Box 2000,Glen Iris,0733979711,,"Food Shop,Delicatessen,Bakery/Patisserie,Fruit and Vegetable Processing","G, Glen Iris"
23,Coles Wynnum Plaza (4539),c/- Licensing and Registrations Po Box 200 -,c/- Licensing and Registrations,Po Box 200,Glen Iris,-,,"Delicatessen,Food Shop,Bakery/Patisserie","G, Glen Iris"
24,Coles Supermarkets Greenslopes (4507),c/- Licensing and Registrations Po Box 200 -,c/- Licensing and Registrations,Po Box 200,Glen Iris,-,,Food Shop,"G, Glen Iris"
25,Coles Everton Park (4462),c/- Licensing and Registrations PO Box 2000 0733556033,c/- Licensing and Registrations,PO Box 2000,Glen Iris,0733556033,,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","G, Glen Iris"
26,Coles Kenmore (4515),c/- Licensing and Registrations PO BOX 200 -,c/- Licensing and Registrations,PO BOX 200,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing,Food Shop","G, Glen Iris"
27,Coles Ashgrove (4471),c/- Licensing and Registrations PO Box 2000 3366 5877,c/- Licensing and Registrations,PO Box 2000,Glen Iris,3366 5877,,"Food Shop,Delicatessen,Bakery/Patisserie,Fruit and Vegetable Processing","G, Glen Iris"
28,Coles Supermarket - Corinda (4495),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Food Shop,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
29,Coles The Gap (4506),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing,Food Shop","G, Glen Iris"
30,Coles Toowong (4508),c/- Licensing and Registrations PO BOX 200 -,c/- Licensing and Registrations,PO BOX 200,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing,Food Shop","G, Glen Iris"
31,Coles Ferny Grove (8712),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Delicatessen,Food Shop,Fruit and Vegetable Processing","G, Glen Iris"
32,Coles Supermarkets Woolloongabba (4571),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Food Shop","G, Glen Iris"
33,Coles Morningside (4578),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,4,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","G, Glen Iris"
34,Coles Supermarket Upper Mt Gravatt #4595,c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Delicatessen,Food Shop","G, Glen Iris"
35,Coles - Mt Ommaney (4412),c/- Licensing and Registrations PO BOX 2000 3725 7200,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,3725 7200,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
36,Coles Supermarket - Petrie Terrace (4461),c/- Licensing and Registrations PO Box 2000 3367 9600,c/- Licensing and Registrations,PO Box 2000,Glen Iris,3367 9600,,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","G, Glen Iris"
37,Coles Aspley (4556),c/- Licensing and Registration PO Box 2000 -,c/- Licensing and Registration,PO Box 2000,Glen Iris,-,4,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
38,Coles Supermarket Store #4557,c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,4,"Fruit and Vegetable Processing,Delicatessen,Bakery/Patisserie","G, Glen Iris"
39,Coles Forest Lake (4421),c/- Licensing and Registrations PO Box 2000 3714 2500,c/- Licensing and Registrations,PO Box 2000,Glen Iris,3714 2500,,"Delicatessen,Bakery/Patisserie,Fruit and Vegetable Processing","G, Glen Iris"
40,COLES SUPERMARKET CARINDALE (4574),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
41,Coles Supermarkets Indooroopilly (4660),c/- Licensing and Registrations PO BOX 2000 -,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,-,,"Bakery/Patisserie,Cafe/Restaurant,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
42,Coles Moggill Supermarket - Store #4652,c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Food Shop","G, Glen Iris"
43,Coles Alderley (4431),c/- Licensing and Registrations PO BOX 2000 35502500,c/- Licensing and Registrations,PO BOX 2000,Glen Iris,35502500,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing","G, Glen Iris"
44,Coles Supermarkets Taringa,c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Fruit and Vegetable Processing,Takeaway Food","G, Glen Iris"
45,Coles Supermarket (4386 Rochedale),c/- Licensing and Registrations PO Box 2000 -,c/- Licensing and Registrations,PO Box 2000,Glen Iris,-,,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","G, Glen Iris"
46,Kurry King,8B/1118 Oxley Rd -,8B/1118 Oxley Rd,,Oxley,-,,Cafe/Restaurant,"O, Oxley"
47,The Brisbane Grammar School Parents' and Friends' Association (Inc.),24 Gregory Tce -,24 Gregory Tce,,Spring Hill,-,,Cafe/Restaurant,"S, Spring Hill"
48,Starbucks Brisbane South,36 Wellington Street -,36 Wellington Street,,Collingwood,-,,Cafe/Restaurant,"C, Collingwood"
49,Waterloo Hotel,"Level 3, 612-616 St Kilda Rd 03 9810 0073","Level 3, 612-616 St Kilda Rd",,Melbourne,03 9810 0073,4,Cafe/Restaurant,"M, Melbourne"
50,Betty's Burgers & Concrete Co. Albert St,M-City Office Level 8 2125 Dandenong Road -,M-City Office Level 8,2125 Dandenong Road,Clayton,-,5,Cafe/Restaurant,"C, Clayton"
51,Sushi On Wickham,11/101 Wickham Terrace (Silverton Place) -,11/101 Wickham Terrace (Silverton Place),,Spring Hill,-,3,Cafe/Restaurant,"S, Spring Hill"
52,Espresso Room,152 WHARF STREET -,152 WHARF STREET,,Spring Hill,-,,Cafe/Restaurant,"S, Spring Hill"
53,Seeds & Soul Coffee,5D 70 Little Edward St -,5D 70 Little Edward St,,Spring Hill,-,4,Cafe/Restaurant,"S, Spring Hill"
54,Gertie's Bar and Restaurant,699 Brunswick Street -,699 Brunswick Street,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
55,The Thistle New Farm,1/158 Moray Street -,1/158 Moray Street,,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
56,Savour Cafe,"1/83 Merthyr Rd, Merthyr Village Sh/g Ctre -","1/83 Merthyr Rd, Merthyr Village Sh/g Ctre",,New Farm,-,,Cafe/Restaurant,"N, New Farm"
57,New Farm Seafood Market,"Shop 8, Merthyr Village 85 Merthyr St -","Shop 8, Merthyr Village",85 Merthyr St,New Farm,-,4,Takeaway Food,"N, New Farm"
58,Grape & Grazing,"Shop 5, 158 Moray St -","Shop 5, 158 Moray St",,New Farm,-,,"Cafe/Restaurant,Caterer - Off Site,Takeaway Food","N, New Farm"
59,Idle,6/84 MERTHYR ROAD -,6/84 MERTHYR ROAD,,New Farm,-,5,"Bakery/Patisserie,Cafe/Restaurant","N, New Farm"
60,Officers Mess,42 Oxlade Dr -,42 Oxlade Dr,,New Farm,-,3,"Cafe/Restaurant,Bakery/Patisserie","N, New Farm"
61,Brunswick Hotel,569 Brunswick Street 3850 0000,569 Brunswick Street,,New Farm,3850 0000,,Cafe/Restaurant,"N, New Farm"
62,New Farm Deli,900 Brunswick Street 3358 2634,900 Brunswick Street,,New Farm,3358 2634,4,Cafe/Restaurant,"N, New Farm"
63,Himalayan Cafe,640 Brunswick St 3358 4015,640 Brunswick St,,New Farm,3358 4015,3,Cafe/Restaurant,"N, New Farm"
64,New Farm Bowls Club,971 Brunswick Street 3358 2374,971 Brunswick Street,,New Farm,3358 2374,,Cafe/Restaurant,"N, New Farm"
65,Continental Cafe,19 Barker Street 3358 6336,19 Barker Street,,New Farm,3358 6336,3,Cafe/Restaurant,"N, New Farm"
66,Merthyr Bowls Club,42 Oxlade Drive 33581291,42 Oxlade Drive,,New Farm,33581291,3,Cafe/Restaurant,"N, New Farm"
67,New Farm Clinic,22 Sargent St 3254 9142,22 Sargent St,,New Farm,3254 9142,4,Hospital,"N, New Farm"
68,Hey Mr,"Unit 1, 76 Moray Street -","Unit 1, 76 Moray Street",,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
69,Village Bakes,"Shop T2, Merthyr Village 85 Merthyr Rd -","Shop T2, Merthyr Village 85 Merthyr Rd",,New Farm,-,3,Bakery/Patisserie,"N, New Farm"
70,Coles New Farm (4537),85 Merthyr Road -,85 Merthyr Road,,New Farm,-,,"Bakery/Patisserie,Delicatessen,Food Shop,Fruit and Vegetable Processing","N, New Farm"
71,NightOwl New Farm,"Shop 1, 660 Brunswick St -","Shop 1, 660 Brunswick St",,New Farm,-,3,Takeaway Food,"N, New Farm"
72,The Moreton Club,71 Moray Street -,71 Moray Street,,New Farm,-,4,"Cafe/Restaurant,Caterer - Off Site,Caterer - On Site,Takeaway Food","N, New Farm"
73,Toranj Restaurant,3/693 BRUNSWICK STREET -,3/693 BRUNSWICK STREET,,New Farm,-,4,"Takeaway Food,Cafe/Restaurant","N, New Farm"
74,Ground Alchemy,"Shop 4, 154 Merthyr Rd -","Shop 4, 154 Merthyr Rd",,New Farm,-,4,"Cafe/Restaurant,Takeaway Food","N, New Farm"
75,Hellbound Bar & Restaurant,697 Brunswick St -,697 Brunswick St,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
76,Koya Restaurant,Shop 1 702 Brunswick Street -,Shop 1 702 Brunswick Street,,New Farm,-,3,Cafe/Restaurant,"N, New Farm"
77,New Farm Fish Cafe,942 Brunswick St (New Farm Park) -,942 Brunswick St (New Farm Park),,New Farm,-,4,Takeaway Food,"N, New Farm"
78,Pizza Hut New Farm,"Shop 4, 660 Brunswick Street -","Shop 4, 660 Brunswick Street",,New Farm,-,4,Takeaway Food,"N, New Farm"
79,Siam Square Thai Restaurant,888 Brunswick Street -,888 Brunswick Street,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
80,Dicki's,"S3, 79 Merthyr Rd -","S3, 79 Merthyr Rd",,New Farm,-,3,Cafe/Restaurant,"N, New Farm"
81,All About Fruit,"S1, 85 Merthyr Rd, (Merthyr Village Sh/g Ctre) 85 Merthyr Rd -","S1, 85 Merthyr Rd, (Merthyr Village Sh/g Ctre)",85 Merthyr Rd,New Farm,-,3,Takeaway Food,"N, New Farm"
82,Ablas Kebabs,5 / 660 Brunswick St -,5 / 660 Brunswick St,,New Farm,-,4,Takeaway Food,"N, New Farm"
83,Holy Spirit School,36 Villiers Street -,36 Villiers Street,,New Farm,-,3,Takeaway Food,"N, New Farm"
84,Mylk and Ko,"Shop 1, 148 Merthyr Rd -","Shop 1, 148 Merthyr Rd",,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
85,New Farm Neighbourhood Centre (Communify QLD),967 Brunswick Street -,967 Brunswick Street,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
86,BUPA New Farm,193 Moray Street 3358 2944,193 Moray Street,,New Farm,3358 2944,4,Care Facility,"N, New Farm"
87,Chargrill Charlies New Farm,92 MERTHYR ROAD -,92 MERTHYR ROAD,,New Farm,-,5,"Cafe/Restaurant,Food Shop,Takeaway Food","N, New Farm"
88,Common Vice,2/75 Welsby Street -,2/75 Welsby Street,,New Farm,-,3,Cafe/Restaurant,"N, New Farm"
89,Bar Alto,Brisbane Powerhouse 119 LAMINGTON STREET 07 3358 1063,Brisbane Powerhouse,119 LAMINGTON STREET,New Farm,07 3358 1063,,Cafe/Restaurant,"N, New Farm"
90,Little Uncle Bakery,"S-2, 121 Merthyr Road -","S-2, 121 Merthyr Road",,New Farm,-,,Cafe/Restaurant,"N, New Farm"
91,Thai on New Farm,"Shop 2, 876 Brunswick St -","Shop 2, 876 Brunswick St",,New Farm,-,3,"Cafe/Restaurant,Takeaway Food","N, New Farm"
92,MK Cafe Restaurent Bar,1/942 BRUNSWICK STREET -,1/942 BRUNSWICK STREET,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
93,A La Bonne Franquette,6/710 Brunswick St -,6/710 Brunswick St,,New Farm,-,4,"Delicatessen,Takeaway Food","N, New Farm"
94,Salter Brothers Management Company Hotels Pty Ltd,37 Balfour Street -,37 Balfour Street,,New Farm,-,,"Accommodation Meals,Cafe/Restaurant","N, New Farm"
95,QAIAS,27 Llewellyn St (07) 3358 5111,27 Llewellyn St,,New Farm,(07) 3358 5111,,Care Facility,"N, New Farm"
96,Mary Mae's,Brisbane Powerhouse 133 Lamington Street 3358 5464,Brisbane Powerhouse,133 Lamington Street,New Farm,3358 5464,4,"Cafe/Restaurant,Takeaway Food","N, New Farm"
97,Sushi Farm,88 Merthyr Rd 07 3254 2889,88 Merthyr Rd,,New Farm,07 3254 2889,4,Takeaway Food,"N, New Farm"
98,Chai Thai,148 Merthyr Road 3358 2202,148 Merthyr Road,,New Farm,3358 2202,4,Cafe/Restaurant,"N, New Farm"
99,Double Shot New Farm,2/129 OXLADE DRIVE -,2/129 OXLADE DRIVE,,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
100,New Farm Cinemas,701 Brunswick Street -,701 Brunswick Street,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
101,The Bakeologists,"Shop 1, 81 Merthyr Road -","Shop 1, 81 Merthyr Road",,New Farm,-,,Bakery/Patisserie,"N, New Farm"
102,Morning Kiss,1/145 James Street -,1/145 James Street,,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
103,Broken Hearts Burger Club,"Shop 1, 876 Brunswick Street -","Shop 1, 876 Brunswick Street",,New Farm,-,,"Cafe/Restaurant,Takeaway Food","N, New Farm"
104,Crust Gourmet Pizza New Farm,"Shop 1, 746 Brunswick St -","Shop 1, 746 Brunswick St",,New Farm,-,3,Cafe/Restaurant,"N, New Farm"
105,End of the Road Coffee,1231A Brunswick St -,1231A Brunswick St,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
106,Joedys,"S2, 942 Brunswick St (938 Brunswick St) -","S2, 942 Brunswick St (938 Brunswick St)",,New Farm,-,,Cafe/Restaurant,"N, New Farm"
107,Groovers Kitchen,710 Brunswick St -,710 Brunswick St,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
108,Sweet Robin Bakery,35 Alford Street -,35 Alford Street,,New Farm,-,,Food Manufacturer,"N, New Farm"
109,Amoroso Gelateria,Shop 4 / 75 Welsby Street -,Shop 4 / 75 Welsby Street,,New Farm,-,3,Cafe/Restaurant,"N, New Farm"
110,Snowfox New Farm,85 Merthyr Rd (kiosk inside Coles Supermarket) -,85 Merthyr Rd (kiosk inside Coles Supermarket),,New Farm,-,,Takeaway Food,"N, New Farm"
111,Outside The Box,1/555 BRUNSWICK STREET -,1/555 BRUNSWICK STREET,,New Farm,-,,Takeaway Food,"N, New Farm"
112,New Farm Bistro,26 Gray St -,26 Gray St,,New Farm,-,3,"Cafe/Restaurant,Takeaway Food","N, New Farm"
113,Taj Mahal Pty Ltd,"Shop B, 148 Merthyr Rd -","Shop B, 148 Merthyr Rd",,New Farm,-,,"Cafe/Restaurant,Takeaway Food","N, New Farm"
114,Dendy Powerhouse Outdoor Cinema,119 Lamington St -,119 Lamington St,,New Farm,-,,Takeaway Food,"N, New Farm"
115,Southside Restaurant Brisbane,"Brisbane Powerhouse, 'Night Feat' 119 Lamington St -","Brisbane Powerhouse, 'Night Feat' 119 Lamington St",,New Farm,-,,Food Stall,"N, New Farm"
116,Franc Cafe,83 Merthyr Road (Merthyr Village) -,83 Merthyr Road (Merthyr Village),,New Farm,-,4,"Bakery/Patisserie,Cafe/Restaurant","N, New Farm"
117,Cartel del Taco New Farm,"Shop 2, 79 Merthyr Rd -","Shop 2, 79 Merthyr Rd",,New Farm,-,4,Cafe/Restaurant,"N, New Farm"
118,Idle,8/84 MERTHYR ROAD -,8/84 MERTHYR ROAD,,New Farm,-,4,Bakery/Patisserie,"N, New Farm"
119,Fresh Bites Health Bar,1/599 Brunswick Street -,1/599 Brunswick Street,,New Farm,-,,Cafe/Restaurant,"N, New Farm"
120,Salter Brothers Management Company Hotels Pty Ltd,17 BALFOUR STREET -,17 BALFOUR STREET,,New Farm,-,,"Accommodation Meals,Caterer - On Site","N, New Farm"
121,Hypercater,19 Barker St -,19 Barker St,,New Farm,-,,"Caterer - Off Site,Food Shop,Takeaway Food","N, New Farm"
122,MIZU Japanese Restaurant,14/2 Macquarie street -,14/2 Macquarie street,,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
123,Beccofino,10 Vernon Terrace 3666 0207,10 Vernon Terrace,,Teneriffe,3666 0207,,Cafe/Restaurant,"T, Teneriffe"
124,Rita's Tequila Taqueria,5/36 VERNON TERRACE -,5/36 VERNON TERRACE,,Teneriffe,-,3,"Cafe/Restaurant,Takeaway Food","T, Teneriffe"
125,Phat Pho,"Shop 3, 102 Commercial Road -","Shop 3, 102 Commercial Road",,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
126,Hikari Teneriffe Pty Ltd,"Shop 4, Teneriffe Village 110 Macquarie St -","Shop 4, Teneriffe Village",110 Macquarie St,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
127,Dalgety 2.0 Public House,6/110 MACQUARIE STREET -,6/110 MACQUARIE STREET,,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
128,Thomas,36F Vernon Tce -,36F Vernon Tce,,Teneriffe,-,5,Cafe/Restaurant,"T, Teneriffe"
129,Streetcorner Jimmy,Shop 9 / 36 Vernon Terrace -,Shop 9 / 36 Vernon Terrace,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
130,Li & Xu Enterprises Pty Ltd trade as Richard's Tasty Corner,U 52 Fusion 53 Commercial Rd -,U 52 Fusion 53 Commercial Rd,,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
131,Aji Cafe Bar Kitchen,8/36 Vernon Terrace (The Woolstore Building) -,8/36 Vernon Terrace (The Woolstore Building),,Teneriffe,-,,"Takeaway Food,Cafe/Restaurant","T, Teneriffe"
132,Vinty Bean,"Unit 26, Mactaggarts Place 53 Vernon Tce -","Unit 26, Mactaggarts Place",53 Vernon Tce,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
133,The Klay Oven,Shop 5 / 110 Macquarie Street 0734220297,Shop 5 / 110 Macquarie Street,,Teneriffe,0734220297,,Cafe/Restaurant,"T, Teneriffe"
134,Sippy Tom,Shop 2A / 54 Vernon Terrace -,Shop 2A / 54 Vernon Terrace,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
135,Zero Fox,Shop 7 / 36 Vernon Terrace -,Shop 7 / 36 Vernon Terrace,,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
136,KIN + Co Cafe,1/24 Macquarie Street -,1/24 Macquarie Street,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
137,Green Beacon Brewing Co,26 Helen St -,26 Helen St,,Teneriffe,-,3,"Cafe/Restaurant,Beverage Manufacturer/Bottler","T, Teneriffe"
138,Samson And Sophie,S1 2 Macquarie St -,S1 2 Macquarie St,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
139,Strauss,Unit 18/ 241 Arthur Street -,Unit 18/ 241 Arthur Street,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
140,Greenhaus Coffee,29 Doggett Street -,29 Doggett Street,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
141,Henley's,"Shop 2, 130 Commercial Rd (128 Commercial Rd) -","Shop 2, 130 Commercial Rd",(128 Commercial Rd),Teneriffe,-,,"Cafe/Restaurant,Takeaway Food","T, Teneriffe"
142,Botanica Real Food,Shop 3 / 29 Doggett Street -,Shop 3 / 29 Doggett Street,,Teneriffe,-,5,Takeaway Food,"T, Teneriffe"
143,Barko & Co,71 Macquarie Street -,71 Macquarie Street,,Teneriffe,-,3,Cafe/Restaurant,"T, Teneriffe"
144,Teneriffe Metro,105 - 129 Commercial Road -,105 - 129 Commercial Road,,Teneriffe,-,,"Food Shop,Cafe/Restaurant","T, Teneriffe"
145,Mimbolus Gelato Creation,10/29 Florence St -,10/29 Florence St,,Teneriffe,-,,Bakery/Patisserie,"T, Teneriffe"
146,Donnies Pizza,"Shop 6, 36F Vernon Tce -","Shop 6, 36F Vernon Tce",,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
147,Advanced Fresh Concepts Pty Ltd,105 - 129 Commercial Rd (Teneriffe Metro Woolworths) -,105 - 129 Commercial Rd (Teneriffe Metro Woolworths),,Teneriffe,-,4,Takeaway Food,"T, Teneriffe"
148,Vanilla Zulu Culinary Adventures,"LG 1 & LG2, 92 Commercial Rd -","LG 1 & LG2, 92 Commercial Rd",,Teneriffe,-,4,"Food Manufacturer,Cafe/Restaurant","T, Teneriffe"
149,The Woolshed Teneriffe,15 Helen St -,15 Helen St,,Teneriffe,-,4,Cafe/Restaurant,"T, Teneriffe"
150,Unbearable Bagels,66 / 39 Vernon Tce -,66 / 39 Vernon Tce,,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
151,Caffeine Espresso,"Shop 4, 113 Commercial Rd -","Shop 4, 113 Commercial Rd",,Teneriffe,-,,Cafe/Restaurant,"T, Teneriffe"
152,The Coffee Commune,82 Abbotsford Rd -,82 Abbotsford Rd,,Bowen Hills,-,,Cafe/Restaurant,"B, Bowen Hills"
153,BOSSC,1/16 Taylor Street -,1/16 Taylor Street,,Bowen Hills,-,5,Takeaway Food,"B, Bowen Hills"
154,Mad Kitchen & Co,Unit 1 / 17 Bowen Bridge Road -,Unit 1 / 17 Bowen Bridge Road,,Bowen Hills,-,,Cafe/Restaurant,"B, Bowen Hills"
155,Uno Sushi & Soul Black,153 Campbell St -,153 Campbell St,,Bowen Hills,-,,"Takeaway Food,Cafe/Restaurant","B, Bowen Hills"
156,Handwash Cafe,179 Abbotsford Rd 3852 3772,179 Abbotsford Rd,,Bowen Hills,3852 3772,,Cafe/Restaurant,"B, Bowen Hills"
157,Zu Catering,41 Campbell St -,41 Campbell St,,Bowen Hills,-,,Cafe/Restaurant,"B, Bowen Hills"
